recommendation,final_score,source_type,discovery_seed,product_group,product_source,brand,category,keyword,search_volume,prev_search_volume,search_volume_growth_pct,total_products,overseas_products,overseas_ratio,opportunity_raw,avg_top10_price,min_top10_price,risk_flags,risk_penalty,volume_source,shopping_status,sample_titles,sample_malls
테스트,61.4,product_discovered,나이키,신발,searchad_related,나이키,신발,나이키슬리퍼,70680,0,0.0,0,0,0.0,706.8,0,0,사이즈반품,6,searchad:나이키슬리퍼,"fallback_input_after_error:Shopping API error 404: {
        ""errorMessage"": ""Invalid search api (존재하지 않는 검색 api 입니다.)"",
      ",,
테스트,61.3,product_discovered,찰스앤키스,가방/지갑,searchad_related,찰스앤키스,가방/지갑,찰스앤키스가방,23150,0,0.0,0,0,0.0,231.5,0,0,,0,searchad:찰스앤키스가방,"fallback_input_after_error:Shopping API error 404: {
        ""errorMessage"": ""Invalid search api (존재하지 않는 검색 api 입니다.)"",
      ",,
테스트,61.1,product_discovered,아식스라이프워커,신발,searchad_related,아식스,신발,아식스젤카야노14,68120,0,0.0,0,0,0.0,681.2,0,0,사이즈반품,6,searchad:아식스젤카야노14,"fallback_input_after_error:Shopping API error 404: {
        ""errorMessage"": ""Invalid search api (존재하지 않는 검색 api 입니다.)"",
      ",,
테스트,60.8,product_discovered,아식스라이프워커,신발,searchad_related,아식스,신발,아식스운동화,54410,0,0.0,0,0,0.0,544.1,0,0,사이즈반품,6,searchad:아식스운동화,"fallback_input_after_error:Shopping API error 404: {
        ""errorMessage"": ""Invalid search api (존재하지 않는 검색 api 입니다.)"",
      ",,
테스트,60.4,product_discovered,뉴발란스,신발,searchad_related,뉴발란스,신발,뉴발란스530,53730,0,0.0,0,0,0.0,537.3,0,0,사이즈반품,6,searchad:뉴발란스530,"fallback_input_after_error:Shopping API error 404: {
        ""errorMessage"": ""Invalid search api (존재하지 않는 검색 api 입니다.)"",
      ",,
관찰,59.8,product_discovered,살로몬,신발,searchad_related,살로몬,신발,살로몬운동화,47060,0,0.0,0,0,0.0,470.6,0,0,사이즈반품,6,searchad:살로몬운동화,"fallback_input_after_error:Shopping API error 404: {
        ""errorMessage"": ""Invalid search api (존재하지 않는 검색 api 입니다.)"",
      ",,
관찰,59.5,product_discovered,나이키,패션의류/패션잡화,searchad_related,나이키,패션의류/패션잡화,나이키에어포스,44500,0,0.0,0,0,0.0,445.0,0,0,사이즈반품,6,searchad:나이키에어포스,"fallback_input_after_error:Shopping API error 404: {
        ""errorMessage"": ""Invalid search api (존재하지 않는 검색 api 입니다.)"",
      ",,
관찰,59.2,product_discovered,아식스라이프워커,신발,searchad_related,아식스,신발,아식스젤카야노,43930,0,0.0,0,0,0.0,439.3,0,0,사이즈반품,6,searchad:아식스젤카야노,"fallback_input_after_error:Shopping API error 404: {
        ""errorMessage"": ""Invalid search api (존재하지 않는 검색 api 입니다.)"",
      ",,
관찰,58.2,product_discovered,뉴발란스,신발,searchad_related,뉴발란스,신발,뉴발란스740,30830,0,0.0,0,0,0.0,308.3,0,0,사이즈반품,6,searchad:뉴발란스740,"fallback_input_after_error:Shopping API error 404: {
        ""errorMessage"": ""Invalid search api (존재하지 않는 검색 api 입니다.)"",
      ",,
관찰,57.5,product_discovered,롱샴,가방/지갑,searchad_related,롱샴,가방/지갑,롱샴백팩,16370,0,0.0,0,0,0.0,163.7,0,0,,0,searchad:롱샴백팩,"fallback_input_after_error:Shopping API error 404: {
        ""errorMessage"": ""Invalid search api (존재하지 않는 검색 api 입니다.)"",
      ",,
관찰,57.2,product_discovered,나이키,패션소품/의류,searchad_related,나이키,패션소품/의류,나이키반바지,27920,0,0.0,0,0,0.0,279.2,0,0,사이즈반품,6,searchad:나이키반바지,"fallback_input_after_error:Shopping API error 404: {
        ""errorMessage"": ""Invalid search api (존재하지 않는 검색 api 입니다.)"",
      ",,
관찰,56.8,product_discovered,롱샴,가방/지갑,searchad_related,롱샴,가방/지갑,롱샴숄더백,15980,0,0.0,0,0,0.0,159.8,0,0,,0,searchad:롱샴숄더백,"fallback_input_after_error:Shopping API error 404: {
        ""errorMessage"": ""Invalid search api (존재하지 않는 검색 api 입니다.)"",
      ",,
관찰,56.6,product_discovered,라코스테,패션소품/의류,searchad_related,라코스테,패션소품/의류,라코스테반팔,26850,0,0.0,0,0,0.0,268.5,0,0,사이즈반품,6,searchad:라코스테반팔,"fallback_input_after_error:Shopping API error 404: {
        ""errorMessage"": ""Invalid search api (존재하지 않는 검색 api 입니다.)"",
      ",,
관찰,56.5,product_discovered,아크테릭스,가방/지갑,searchad_related,아크테릭스,가방/지갑,아크테릭스반팔,15950,0,0.0,0,0,0.0,159.5,0,0,,0,searchad:아크테릭스반팔,"fallback_input_after_error:Shopping API error 404: {
        ""errorMessage"": ""Invalid search api (존재하지 않는 검색 api 입니다.)"",
      ",,
관찰,56.3,product_discovered,나이키,패션소품/의류,searchad_related,나이키,패션소품/의류,나이키모자,26470,0,0.0,0,0,0.0,264.7,0,0,사이즈반품,6,searchad:나이키모자,"fallback_input_after_error:Shopping API error 404: {
        ""errorMessage"": ""Invalid search api (존재하지 않는 검색 api 입니다.)"",
      ",,
관찰,55.7,product_discovered,아디다스,신발,searchad_related,아디다스,신발,아디다스샌들,14810,0,0.0,0,0,0.0,148.1,0,0,사이즈반품,6,searchad:아디다스샌들,"fallback_input_after_error:Shopping API error 404: {
        ""errorMessage"": ""Invalid search api (존재하지 않는 검색 api 입니다.)"",
      ",,
관찰,55.0,product_discovered,나이키,패션소품/의류,searchad_related,나이키,패션소품/의류,나이키양말,22940,0,0.0,0,0,0.0,229.4,0,0,사이즈반품,6,searchad:나이키양말,"fallback_input_after_error:Shopping API error 404: {
        ""errorMessage"": ""Invalid search api (존재하지 않는 검색 api 입니다.)"",
      ",,
관찰,54.9,product_discovered,타이틀리스트,골프,searchad_related,타이틀리스트,골프,타이틀리스트골프공,12420,0,0.0,0,0,0.0,124.2,0,0,,0,searchad:타이틀리스트골프공,"fallback_input_after_error:Shopping API error 404: {
        ""errorMessage"": ""Invalid search api (존재하지 않는 검색 api 입니다.)"",
      ",,
관찰,54.7,product_discovered,뉴발란스,신발,searchad_related,뉴발란스,신발,뉴발란스1906,21060,0,0.0,0,0,0.0,210.6,0,0,사이즈반품,6,searchad:뉴발란스1906,"fallback_input_after_error:Shopping API error 404: {
        ""errorMessage"": ""Invalid search api (존재하지 않는 검색 api 입니다.)"",
      ",,
관찰,54.6,product_discovered,아디다스,패션잡화,searchad_related,아디다스,패션잡화,아디다스가젤,12000,0,0.0,0,0,0.0,120.0,0,0,,0,searchad:아디다스가젤,"fallback_input_after_error:Shopping API error 404: {
        ""errorMessage"": ""Invalid search api (존재하지 않는 검색 api 입니다.)"",
      ",,
관찰,54.1,product_discovered,아크테릭스,가방/지갑,searchad_related,아크테릭스,가방/지갑,아크테릭스가방,11930,0,0.0,0,0,0.0,119.3,0,0,,0,searchad:아크테릭스가방,"fallback_input_after_error:Shopping API error 404: {
        ""errorMessage"": ""Invalid search api (존재하지 않는 검색 api 입니다.)"",
      ",,
관찰,54.0,product_discovered,아식스라이프워커,신발,searchad_related,아식스,신발,아식스젤1130,18010,0,0.0,0,0,0.0,180.1,0,0,사이즈반품,6,searchad:아식스젤1130,"fallback_input_after_error:Shopping API error 404: {
        ""errorMessage"": ""Invalid search api (존재하지 않는 검색 api 입니다.)"",
      ",,
관찰,53.7,product_discovered,살로몬,패션소품/의류,searchad_related,살로몬,패션소품/의류,살로몬모자,17230,0,0.0,0,0,0.0,172.3,0,0,사이즈반품,6,searchad:살로몬모자,"fallback_input_after_error:Shopping API error 404: {
        ""errorMessage"": ""Invalid search api (존재하지 않는 검색 api 입니다.)"",
      ",,
관찰,53.6,product_discovered,아크테릭스,가방/지갑,searchad_related,아크테릭스,가방/지갑,아크테릭스모자,11890,0,0.0,0,0,0.0,118.9,0,0,,0,searchad:아크테릭스모자,"fallback_input_after_error:Shopping API error 404: {
        ""errorMessage"": ""Invalid search api (존재하지 않는 검색 api 입니다.)"",
      ",,
관찰,53.4,product_discovered,뉴발란스,신발,searchad_related,뉴발란스,신발,뉴발란스993,17180,0,0.0,0,0,0.0,171.8,0,0,사이즈반품,6,searchad:뉴발란스993,"fallback_input_after_error:Shopping API error 404: {
        ""errorMessage"": ""Invalid search api (존재하지 않는 검색 api 입니다.)"",
      ",,
관찰,53.3,product_discovered,라코스테,가방/지갑,searchad_related,라코스테,가방/지갑,라코스테가방,11720,0,0.0,0,0,0.0,117.2,0,0,,0,searchad:라코스테가방,"fallback_input_after_error:Shopping API error 404: {
        ""errorMessage"": ""Invalid search api (존재하지 않는 검색 api 입니다.)"",
      ",,
관찰,53.1,product_discovered,아디다스,신발,searchad_related,아디다스,신발,아디다스러닝화,17170,0,0.0,0,0,0.0,171.7,0,0,사이즈반품,6,searchad:아디다스러닝화,"fallback_input_after_error:Shopping API error 404: {
        ""errorMessage"": ""Invalid search api (존재하지 않는 검색 api 입니다.)"",
      ",,
관찰,53.0,product_discovered,아디다스,가방/지갑,searchad_related,아디다스,가방/지갑,아디다스가방,11230,0,0.0,0,0,0.0,112.3,0,0,,0,searchad:아디다스가방,"fallback_input_after_error:Shopping API error 404: {
        ""errorMessage"": ""Invalid search api (존재하지 않는 검색 api 입니다.)"",
      ",,
관찰,52.8,product_discovered,아디다스,패션소품/의류,searchad_related,아디다스,패션소품/의류,아디다스반바지,17110,0,0.0,0,0,0.0,171.1,0,0,사이즈반품,6,searchad:아디다스반바지,"fallback_input_after_error:Shopping API error 404: {
        ""errorMessage"": ""Invalid search api (존재하지 않는 검색 api 입니다.)"",
      ",,
관찰,52.4,product_discovered,휠라인터런,신발,searchad_related,휠라,신발,휠라운동화,16680,0,0.0,0,0,0.0,166.8,0,0,사이즈반품,6,searchad:휠라운동화,"fallback_input_after_error:Shopping API error 404: {
        ""errorMessage"": ""Invalid search api (존재하지 않는 검색 api 입니다.)"",
      ",,
관찰,52.4,product_discovered,유니클로,가방/지갑,searchad_related,유니클로,가방/지갑,유니클로가방,10270,0,0.0,0,0,0.0,102.7,0,0,,0,searchad:유니클로가방,"fallback_input_after_error:Shopping API error 404: {
        ""errorMessage"": ""Invalid search api (존재하지 않는 검색 api 입니다.)"",
      ",,
관찰,52.1,product_discovered,뉴발란스,신발,searchad_related,뉴발란스,신발,뉴발란스1080,16600,0,0.0,0,0,0.0,166.0,0,0,사이즈반품,6,searchad:뉴발란스1080,"fallback_input_after_error:Shopping API error 404: {
        ""errorMessage"": ""Invalid search api (존재하지 않는 검색 api 입니다.)"",
      ",,
관찰,52.0,product_discovered,노스페이스,가방/지갑,searchad_related,노스페이스,가방/지갑,노스페이스가방,10190,0,0.0,0,0,0.0,101.9,0,0,,0,searchad:노스페이스가방,"fallback_input_after_error:Shopping API error 404: {
        ""errorMessage"": ""Invalid search api (존재하지 않는 검색 api 입니다.)"",
      ",,
관찰,51.8,product_discovered,버켄스탁보스턴,신발,searchad_related,버켄스탁,신발,버켄스탁슬리퍼,16590,0,0.0,0,0,0.0,165.9,0,0,사이즈반품,6,searchad:버켄스탁슬리퍼,"fallback_input_after_error:Shopping API error 404: {
        ""errorMessage"": ""Invalid search api (존재하지 않는 검색 api 입니다.)"",
      ",,
